term,coef,std_err,t,p_value,ci_low_95,ci_high_95
Intercept,5.239255757417263,0.36907273889472497,14.195726764072159,0.0,4.513231809549567,5.965279705284959
register[blog],1.0071652717755222,0.33697033107349883,2.988884120946074,0.0030094583008359876,0.3442917937372265,1.6700387498138178
register[news],0.05617016997467594,0.327333529435887,0.17159919447139216,0.8638575005099125,-0.5877462081956923,0.7000865481450442
register[unseen],1.949004234570472,0.4858423236893064,4.011598289277181,7.460504430434334e-05,0.9932762039863992,2.9047322651545446
prompt_word_count,-5.574368003086362e-05,0.00017192175365989744,-0.32423866581269306,0.7459621475688953,-0.0003939407267439234,0.00028245336668219616
reference_word_count,2.5060447604050972e-05,0.00011882853250577994,0.2108958772408639,0.8330982962528473,-0.0002086939081024529,0.00025881480331055485
model[deepseek_V32_expert],0.008561437628267226,0.4014671894198984,0.02132537316595687,0.9829989529759904,-0.7811874738596754,0.7983103491162098
model[gemini_3_thinking],-0.8928618669016872,0.39976210951318775,-2.2334829781366077,0.026184933200389837,-1.6792566188572644,-0.10646711494611005
model[gpt_5],0.1412599610681973,0.3997621095131877,0.35336005515934793,0.7240434717208784,-0.6451347908873798,0.9276547130237743
model[le_chat_free],2.779235179583829,0.4369680687134815,6.360270643496754,6.691467380193217e-10,1.9196504720013565,3.6388198871663016
model[le_chat_thinking],1.584021307318424,0.40146974851050987,3.945555831280664,9.724027461333051e-05,0.7942673616979843,2.373775252938864
