dim_id,dim_label,mean_v_human_academic,mean_v_human_blog,mean_v_human_news,mean_v_human_unseen,between_register_std,between_register_CV,mean_abs_b
dim4,Past tense,0.3568058666666667,0.24653733333333333,0.26128053333333334,0.7420201333333334,0.20101389878029996,0.5004566424477059,4.058210020467836
dim5,3rd person,20.656887533333336,29.868171733333334,27.24813333333333,59.31999186666667,14.845046174282444,0.4331373943069189,5.395795266081872
dim1,Subject drop,0.0608684,0.057007,0.05236406666666667,0.023609333333333333,0.014661317731666854,0.30253099800807337,3.83762448245614
dim3,NP length,3.3434435333333337,2.8346368666666666,2.8295092,1.9895482666666666,0.4857841933710918,0.1766947724984146,4.890427774853801
dim10,LIX readability,49.252979466666666,41.90585933333333,42.4845452,30.8121476,6.612045540609727,0.16082269720648854,4.888623368421053
dim11,Lexical diversity (MTLD),167.25207686666667,170.68828053333334,137.55203553333334,123.04660393333333,20.040851117095617,0.1339317987433324,8.168427298245614
dim7,Complementizers,0.6198270666666666,0.5029772666666666,0.5365533333333333,0.5964532000000001,0.04649450535969877,0.08244397798899175,5.130019915204678
dim6,Word length,5.518169666666666,5.3623465333333336,5.2605212,4.572086866666667,0.3618145948111759,0.0698715635851109,5.6755833596491225
dim9,Tree depth,8.352711066666666,7.565478133333333,7.720063533333333,7.0304926666666665,0.4712917200132686,0.06146866640501944,5.528292979532163
dim2,Subordination,0.42331219999999997,0.406928,0.40623339999999997,0.3645394,0.02172273428064477,0.054272474441231316,5.958802467836257
dim8,BÍN coverage,0.9479248000000001,0.9864288,0.9631183333333334,0.9546574,0.01454114094766979,0.015099327867153428,2.8572276754385966
