filename,total_words,exact_count,compound_count,proper_name_count,oov_count,archaic_icelandic_count,archaic_z_unverified_count,in_bin_ratio,exact_ratio,compound_ratio,proper_name_ratio,oov_ratio,archaic_icelandic_ratio,archaic_z_unverified_ratio
academic_ref_001.txt,1044,888,17,32,107,0,6,0.897510,0.850575,0.016284,0.030651,0.102490,0.000000,0.005747
academic_ref_002.txt,1059,980,10,22,47,0,0,0.955619,0.925401,0.009443,0.020774,0.044381,0.000000,0.000000
academic_ref_003.txt,1038,939,44,9,46,0,1,0.955684,0.904624,0.042389,0.008671,0.044316,0.000000,0.000963
academic_ref_004.txt,1034,878,22,48,86,0,1,0.916828,0.849130,0.021277,0.046422,0.083172,0.000000,0.000967
academic_ref_005.txt,1077,1032,11,25,9,0,0,0.991643,0.958217,0.010214,0.023213,0.008357,0.000000,0.000000
academic_ref_006.txt,1096,1034,4,12,46,0,2,0.958029,0.943431,0.003650,0.010949,0.041971,0.000000,0.001825
academic_ref_007.txt,1088,1022,11,38,17,0,0,0.984375,0.939338,0.010110,0.034926,0.015625,0.000000,0.000000
academic_ref_008.txt,1072,1035,11,17,9,0,0,0.991604,0.965485,0.010261,0.015858,0.008396,0.000000,0.000000
academic_ref_009.txt,1068,937,9,90,32,0,0,0.970037,0.877341,0.008427,0.084270,0.029963,0.000000,0.000000
academic_ref_010.txt,1051,984,23,12,32,0,0,0.969553,0.936251,0.021884,0.011418,0.030447,0.000000,0.000000
academic_ref_011.txt,1033,981,20,7,25,0,0,0.975799,0.949661,0.019361,0.006776,0.024201,0.000000,0.000000
academic_ref_012.txt,1040,834,6,15,185,0,4,0.822115,0.801923,0.005769,0.014423,0.177885,0.000000,0.003846
academic_ref_013.txt,1056,908,43,9,96,0,0,0.909091,0.859848,0.040720,0.008523,0.090909,0.000000,0.000000
academic_ref_014.txt,1050,926,36,14,74,0,0,0.929524,0.881905,0.034286,0.013333,0.070476,0.000000,0.000000
academic_ref_015.txt,1054,1023,2,20,9,0,0,0.991461,0.970588,0.001898,0.018975,0.008539,0.000000,0.000000
blog_ref_001.txt,1093,1060,9,22,2,0,0,0.998170,0.969808,0.008234,0.020128,0.001830,0.000000,0.000000
blog_ref_002.txt,1085,1041,21,16,7,0,0,0.993548,0.959447,0.019355,0.014747,0.006452,0.000000,0.000000
blog_ref_003.txt,1100,1054,25,9,12,0,0,0.989091,0.958182,0.022727,0.008182,0.010909,0.000000,0.000000
blog_ref_004.txt,1079,1009,4,43,23,0,0,0.978684,0.935125,0.003707,0.039852,0.021316,0.000000,0.000000
blog_ref_005.txt,1083,1060,8,15,0,0,0,1.000000,0.978763,0.007387,0.013850,0.000000,0.000000,0.000000
blog_ref_006.txt,1097,1023,15,36,23,0,1,0.979034,0.932543,0.013674,0.032817,0.020966,0.000000,0.000912
blog_ref_007.txt,1089,1021,10,53,5,0,1,0.995409,0.937557,0.009183,0.048669,0.004591,0.000000,0.000918
blog_ref_008.txt,1077,1005,4,54,14,0,0,0.987001,0.933148,0.003714,0.050139,0.012999,0.000000,0.000000
blog_ref_009.txt,1049,910,9,85,45,0,0,0.957102,0.867493,0.008580,0.081030,0.042898,0.000000,0.000000
blog_ref_010.txt,1071,974,7,74,16,0,0,0.985061,0.909430,0.006536,0.069094,0.014939,0.000000,0.000000
blog_ref_011.txt,1070,1004,7,40,19,0,0,0.982243,0.938318,0.006542,0.037383,0.017757,0.000000,0.000000
blog_ref_012.txt,1047,951,9,66,21,0,0,0.979943,0.908309,0.008596,0.063037,0.020057,0.000000,0.000000
